Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalOrganizationStoreLDAP
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     	API Portal_PortalAPI
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     Re-encryption is recommended, but not required for operation.
INFO    08/Mar/2022:01:10:21.002 [0001:000000000000000000000000]     All new data will be encrypted using the new scheme.
INFO    08/Mar/2022:01:10:23.599 [0001:000000000000000000000000]     Configuring API Manager Event Notifier
INFO    08/Mar/2022:01:10:23.684 [0001:000000000000000000000000]     API Manager Event Notifier [ffac26620100a5434464db8f]
INFO    08/Mar/2022:01:10:23.786 [0001:000000000000000000000000]     Configuring VAPI Catalog [ffac266202006e6f30ec0327]
INFO    08/Mar/2022:01:10:23.786 [0001:000000000000000000000000]     Dispatching load of VAPI Catalog [ffac266202006e6f30ec0327]...
INFO    08/Mar/2022:01:10:24.281 [0001:000000000000000000000000]     Completed dispatching load of VAPI Catalog [ffac266202006e6f30ec0327]
INFO    08/Mar/2022:01:10:24.486 [0001:000000000000000000000000]     Starting VAPI Lifecycle Scheduler
INFO    08/Mar/2022:01:10:24.787 [0001:000000000000000000000000]     Starting Trial Scheduler
INFO    08/Mar/2022:01:10:25.089 [0001:000000000000000000000000]     Starting API-Client-Cache
INFO    08/Mar/2022:01:10:25.184 [0001:000000000000000000000000]     API Manager Quota Cassandra keyspace is: xapimuat_axway_group
INFO    08/Mar/2022:01:10:25.187 [0001:000000000000000000000000]     Starting API Manager Asynchronous Executor
INFO    08/Mar/2022:01:10:28.988 [003e:ffac266202006e6f30ec0327] VAPI Catalog update is completed, 1 apis
INFO    08/Mar/2022:01:10:32.892 [0001:000000000000000000000000]     Reading API Manager metrics from database enabled
INFO    08/Mar/2022:01:10:32.895 [0001:000000000000000000000000]     No API connectors configured
INFO    08/Mar/2022:01:10:33.084 [0001:000000000000000000000000]     Initializing PassPort connection cache.
INFO    08/Mar/2022:01:10:33.101 [0001:000000000000000000000000]     Default tracing level set to INFO
INFO    08/Mar/2022:01:10:33.101 [0001:000000000000000000000000]     EMT mode enabled, deployment not permitted, source image: apim_apig_202202:7.7
INFO    08/Mar/2022:01:11:01.301 [0001:000000000000000000000000]         TCP interface
INFO    08/Mar/2022:01:11:01.301 [0001:000000000000000000000000]             checking invariants for interface *:8080
INFO    08/Mar/2022:01:11:01.301 [0001:000000000000000000000000]                 listen on address: 0.0.0.0:8080
INFO    08/Mar/2022:01:11:01.599 [0001:000000000000000000000000]         TCP interface
INFO    08/Mar/2022:01:11:01.599 [0001:000000000000000000000000]             checking invariants for interface *:8081
INFO    08/Mar/2022:01:11:01.599 [0001:000000000000000000000000]                 interface is disabled
INFO    08/Mar/2022:01:11:07.486 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/webapps/apiportal/vordel/apiportal/app-login/ at URI prefix /vordel/apiportal/app-login
INFO    08/Mar/2022:01:11:07.704 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/webapps/apiportal/common/themes/ at URI prefix /common/themes
INFO    08/Mar/2022:01:11:20.195 [0044:000000000000000000000000] Successfully registered with ANM at https://anm:8090/api/topology/emt/registergateway
INFO    08/Mar/2022:01:11:46.696 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/docs/ at URI prefix /docs
INFO    08/Mar/2022:01:11:46.796 [0001:000000000000000000000000]         SSL/TCP interface
INFO    08/Mar/2022:01:11:46.796 [0001:000000000000000000000000]             no EDH key exchange
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]             option "nosslv3" enabled
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]             option "nosslv2" enabled
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]             SSL session cache size for this interface: 32
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]             interface ciphers: FIPS:!SSLv3:!aNULL:!TLSv1:!kRSA
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]             checking invariants for interface *:8075
INFO    08/Mar/2022:01:11:46.797 [0001:000000000000000000000000]                 listen on address: 0.0.0.0:8075
